Trimester,Maand,HICP-Indexcijfer,Inflatie (HICP),HICP-Indexcijfer met vaste belastingstarieven,Inflatie (HICP met vaste belastingstarieven)
1ste kwartaal 2022,Januari 2022,116.986,0.085,115.228,0.082
1ste kwartaal 2022,Februari 2022,119.495,0.095,117.685,0.096
1ste kwartaal 2022,Maart 2022,120.283,0.093,119.136,0.099
2de kwartaal 2022,April 2022,120.612,0.093,120.334,0.108
2de kwartaal 2022,Mei 2022,121.611,0.099,121.329,0.11
2de kwartaal 2022,Juni 2022,122.822,0.105,122.36,0.114
3de kwartaal 2022,Juli 2022,122.032,0.104,121.597,0.113
3de kwartaal 2022,Augustus 2022,124.24,0.105,123.912,0.115
3de kwartaal 2022,September 2022,125.899,0.121,125.695,0.132
4de kwartaal 2022,Oktober 2022,129.303,0.131,129.278,0.148
4de kwartaal 2022,November 2022,128.066,0.105,127.724,0.118
4de kwartaal 2022,December 2022,127.766,0.102,127.483,0.117
